id,city,type,squareMeters,Size of Apartment,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
00b196fbb78fd76de666a4a4d66b6983,krakow,,62,Big,3,3,4,2019,50.06994001,19.95154786,1.88,22,0.28,0.49,0.464,0.664,0.242,0.943,0.271,condominium,,,yes,yes,yes,no,no,4500
42b6ccbf28816f34714007368cec1052,krakow,,62,Big,3,3,4,2019,50.06994001,19.95154786,1.88,22,0.28,0.49,0.464,0.664,0.242,0.943,0.271,condominium,,,yes,yes,yes,no,no,4500
95a96d592280c5cf9041c385ac9939f5,krakow,apartmentBuilding,62,Big,3,3,5,2019,50.0713956,19.954938,2.14,14,0.444,0.328,0.414,0.4,0.252,0.899,0.174,condominium,brick,,yes,yes,yes,yes,no,4500
82107e34137037c6cbd410c7931d4bf0,krakow,apartmentBuilding,62,Big,3,4,5,2019,50.0713956,19.954938,2.14,14,0.444,0.328,0.414,0.4,0.252,0.899,0.174,condominium,brick,,yes,yes,yes,yes,no,4500
020d9f7e517a8f0a4f9d2d90e1c25696,krakow,apartmentBuilding,62,Big,2,4,4,2019,50.0840973,19.8461551,7.32,5,0.112,2.362,0.344,0.452,0.367,3.686,0.222,condominium,brick,premium,yes,yes,yes,no,yes,3300
ee61a0840132d0119c128fca14f2a428,gdansk,,62,Big,3,1,2,2019,54.4125979,18.5595667,9.34,20,0.26,1.118,0.443,0.208,0.135,0.912,0.404,condominium,,,no,yes,yes,no,no,5500
88e88e54877a38730a3aaa525dd8630e,gdansk,,62,Big,2,4,5,2019,54.35592,18.648,0.84,46,0.191,0.087,0.226,0.345,0.065,0.092,0.07,condominium,,,no,yes,no,no,no,5200
2e4593a1eb5caeab916852d94e586b07,krakow,apartmentBuilding,62,Big,2,5,5,2016,50.0596,19.9503,0.97,37,0.053,0.2,0.264,0.399,0.189,0.587,0.079,condominium,brick,,yes,yes,no,no,no,3800
7c2ebe4edcd0079c7880dc1b76b97da8,warszawa,,62,Big,2,2,11,2016,52.22602,20.95643,3.27,12,0.213,0.235,0.568,0.072,0.047,0.738,0.045,condominium,,,no,no,yes,no,no,6200
e84ac0f89dc8441ece2986227bcf61f4,warszawa,apartmentBuilding,62,Big,2,3,8,2013,52.1881426,20.9939355,4.89,26,0.372,0.396,0.296,0.303,0.055,0.785,0.319,condominium,brick,premium,no,no,yes,no,no,4900
e4cbc3aeb1a246b316225e359a95d7ee,warszawa,apartmentBuilding,62,Big,2,3,8,2013,52.1889899,21.0022116,4.75,22,0.171,0.368,0.061,0.275,0.134,0.367,0.44,condominium,brick,,no,yes,yes,no,no,4900
fd7ed4ecd885483334d644458b169e37,warszawa,apartmentBuilding,62,Big,2,4,8,2013,52.1889807,21.006445,4.76,21,0.184,0.375,0.268,0.243,0.264,0.417,0.464,condominium,concreteSlab,premium,yes,yes,yes,yes,yes,4900
b7bd6c483c025cd710e7358ec2486839,warszawa,,62,Big,2,3,8,2013,52.1881735,20.9946247,4.88,28,0.336,0.423,0.316,0.277,0.102,0.745,0.316,condominium,,,no,no,yes,no,no,4900
8ce3455ab807b33ca95cfe8a275b40d6,wroclaw,blockOfFlats,62,Big,2,1,4,2012,51.08989,17.01647,2.49,26,0.325,1.745,0.299,0.125,0.463,0.34,0.167,condominium,,premium,yes,yes,yes,no,no,3490
9690b42008749408897883fe75335a3c,krakow,,62,Big,3,2,2,2011,50.0960902,19.8962645,5.44,3,0.869,0.549,1.022,0.475,0.141,2.582,0.388,condominium,,,yes,yes,no,no,no,3200
660a18fc46d9cd38c4509bf5160a6af7,warszawa,apartmentBuilding,62,Big,2,1,10,2011,52.2065212,21.002586,2.8,22,0.127,0.318,0.189,0.376,0.227,0.213,0.065,condominium,brick,,yes,yes,yes,no,no,5000
b3aa9ebecc25316a6390eed0962b33a4,warszawa,apartmentBuilding,62,Big,3,4,5,2011,52.2457,20.8993,7.27,8,1.084,0.533,0.722,0.121,0.35,2.792,0.35,condominium,brick,low,no,yes,yes,no,no,3600
261265c663a05e7534438e8ed19e5985,warszawa,apartmentBuilding,62,Big,2,1,5,2011,52.22068393,20.98060131,1.99,33,0.225,0.235,0.266,0.359,0.042,1.025,0.19,condominium,brick,premium,yes,yes,yes,no,no,4900
aaddfa632eaefbd8f7ae2768515cd97e,krakow,blockOfFlats,62,Big,3,2,2,2009,50.086644,19.9131176,3.93,22,0.083,1.509,0.077,0.139,0.075,1.246,0.217,condominium,,premium,yes,yes,no,no,no,3200
2c5bbc8f66116672dc449949274c8b88,warszawa,,62,Big,2,10,10,2009,52.20732647,20.96433007,3.81,13,0.194,0.74,0.663,0.279,0.224,0.849,0.081,condominium,,,yes,yes,yes,no,no,3800
0d1af9cd7502b40c7795db1dcc39a8ca,warszawa,,62,Big,2,1,6,2009,52.2073165,21.0024849,2.71,18,0.041,0.405,0.205,0.433,0.23,0.263,0.057,condominium,,,yes,yes,yes,no,no,5000
d8997258e571198bb3696b9fb4b741d5,warszawa,apartmentBuilding,62,Big,2,1,6,2009,52.20787,21.00185,2.65,16,0.056,0.476,0.208,0.398,0.288,0.287,0.101,condominium,brick,,no,no,yes,no,no,5000
4bbb8705e8924ad9d415e420c7041b1c,warszawa,apartmentBuilding,62,Big,2,1,6,2009,52.20812,21.00262,2.62,15,0.05,0.49,0.265,0.455,0.251,0.338,0.14,condominium,brick,,no,no,yes,no,no,5000
0a6ebae47462291eaf44bf034c3778ec,warszawa,apartmentBuilding,62,Big,2,1,6,2009,52.2073,21.0025,2.72,19,0.042,0.403,0.205,0.434,0.229,0.262,0.056,condominium,brick,,yes,yes,yes,no,no,5000
605bfda7785bcdde30a8b067e37b9940,warszawa,,62,Big,2,1,6,2009,52.20659416,21.00283384,2.79,20,0.119,0.321,0.206,0.371,0.209,0.232,0.073,condominium,brick,,no,yes,yes,no,no,5000
c9aaa7e7b9c3871a13ca362ff7e1b66e,warszawa,,62,Big,2,1,6,2009,52.20787485,21.00185218,2.65,15,0.055,0.476,0.209,0.398,0.288,0.288,0.101,condominium,,,no,no,yes,no,no,5800
